127.8,4528549.66,5337702.23,401.33
127.8,4528549.58,5337702.21,401.16
127.8,4528547.04,5337701.55,401.69
127.8,4528547.04,5337701.55,401.69
127.8,4528546.65,5337701.45,401.59
127.8,4528541.89,5337700.22,401.81
127.8,4528540.33,5337699.82,402.85
127.6,4528746.43,5337543.34,402.95
127.6,4528742.39,5337543.57,402.79
127.6,4528739.37,5337543.74,401.95
127.6,4528739.14,5337543.75,401.17
127.6,4528737.33,5337543.85,400.08
127.6,4528734.87,5337543.99,398.86
127.6,4528732.65,5337544.11,398.45
127.6,4528729.29,5337544.3,398.23
127.6,4528726.19,5337544.47,396.09
127.6,4528726.01,5337544.48,396.01
127.6,4528721.58,5337544.72,394.36
127.6,4528721.35,5337544.74,394.24
127.6,4528720.86,5337544.76,393.89
127.6,4528712.42,5337545.23,393.42
127.6,4528711.82,5337545.27,393.42
127.6,4528710.43,5337545.34,393.19
127.6,4528709.23,5337545.41,393.11
127.6,4528708.43,5337545.45,393.03
127.6,4528707.03,5337545.53,393.01
127.6,4528705.83,5337545.6,393.2
127.6,4528704.43,5337545.68,393.1
127.6,4528703.44,5337545.73,392.97
127.6,4528702.04,5337545.81,392.94
127.6,4528700.84,5337545.88,392.93
127.6,4528699.44,5337545.95,393.02
127.6,4528698.44,5337546.01,393.09
127.6,4528697.25,5337546.08,393.13
127.6,4528695.85,5337546.15,393.11
127.6,4528694.65,5337546.22,393.11
127.6,4528693.65,5337546.28,393.11
127.6,4528692.25,5337546.35,393.27
127.6,4528691.05,5337546.42,393.31
127.6,4528689.66,5337546.5,393.37
127.6,4528688.46,5337546.56,393.36
127.6,4528687.06,5337546.64,393.42
127.6,4528685.86,5337546.71,393.49
127.6,4528684.46,5337546.79,393.4
127.6,4528683.27,5337546.85,393.45
127.6,4528681.87,5337546.93,393.38
127.6,4528680.67,5337547,393.56
127.6,4528679.47,5337547.06,393.6
127.6,4528678.07,5337547.14,393.61
127.6,4528676.88,5337547.21,393.6
127.6,4528675.48,5337547.28,393.68
127.6,4528674.28,5337547.35,393.77
127.6,4528652.68,5337548.55,393.88
127.6,4528651.86,5337548.6,393.92
127.6,4528649.96,5337548.7,393.96
127.6,4528648.77,5337548.77,394
127.6,4528646.89,5337548.87,394.26
127.6,4528644.05,5337549.03,394.57
127.6,4528639.89,5337549.26,395.28
127.6,4528636.34,5337549.46,396.59
127.6,4528632.82,5337549.65,396.75
127.6,4528628.24,5337549.91,396.53
127.6,4528624.8,5337550.1,395.98
127.6,4528623.66,5337550.16,394.73
127.6,4528623.5,5337550.17,394.35
127.6,4528621.87,5337550.26,394.18
127.6,4528617.77,5337550.49,393.68
127.6,4528617.37,5337550.51,393.57
127.6,4528615.97,5337550.59,393.37
127.6,4528614.57,5337550.67,393.22
127.6,4528613.97,5337550.7,393.16
127.6,4528612.77,5337550.77,393.15
127.6,4528612.18,5337550.8,393.14
127.6,4528611.78,5337550.82,393.16
127.6,4528610.78,5337550.88,393.18
127.6,4528609.38,5337550.95,393.34
127.6,4528607.98,5337551.03,393.44
127.6,4528606.58,5337551.11,393.56
127.6,4528605.39,5337551.18,393.69
127.6,4528603.99,5337551.25,393.79
127.6,4528602.79,5337551.32,393.97
127.6,4528600.39,5337551.45,394.17
127.6,4528598.36,5337551.57,394.53
127.6,4528588.23,5337552.13,395.83
127.6,4528583.97,5337552.37,396.73
127.6,4528582.84,5337552.43,397.43
127.6,4528581.74,5337552.49,397.51
127.6,4528579.89,5337552.59,395.54
127.6,4528579.73,5337552.6,395.24
127.6,4528577.99,5337552.7,395.32
127.6,4528576.07,5337552.8,395.12
127.6,4528574.07,5337552.92,395.23
127.6,4528572.97,5337552.98,395.41
127.6,4528572.79,5337552.99,395.69
127.6,4528569.4,5337553.17,398.13
127.6,4528564.5,5337553.45,398.39
127.6,4528564.25,5337553.46,398.69
127.6,4528560.67,5337553.66,398.69
127.6,4528558.62,5337553.77,399.66
127.6,4528552.74,5337554.1,399.95
127.6,4528552.22,5337554.13,400.45
127.49,4528735.49,5337469.98,401.39
127.49,4528734.49,5337469.73,400.68
127.49,4528732.95,5337469.35,400.6
127.49,4528729.51,5337468.5,398.77
127.49,4528729.44,5337468.48,398.43
127.49,4528727.12,5337467.91,396.9
127.49,4528726.17,5337467.67,396.54
127.49,4528722.9,5337466.86,395.89
127.49,4528718.74,5337465.83,394.13
127.49,4528718.58,5337465.79,394.13
127.49,4528717.97,5337465.64,393.67
127.49,4528715.37,5337465,393.25
127.49,4528714.79,5337464.85,393.05
127.49,4528714.4,5337464.76,392.87
127.49,4528713.62,5337464.57,392.67
127.49,4528712.26,5337464.23,392.75
127.49,4528710.91,5337463.89,392.66
127.49,4528709.74,5337463.61,392.65
127.49,4528708.58,5337463.32,392.55
127.49,4528707.22,5337462.98,392.55
127.49,4528706.83,5337462.88,392.57
127.49,4528705.86,5337462.64,392.55
127.49,4528704.5,5337462.31,392.46
127.49,4528703.72,5337462.12,392.47
127.49,4528703.33,5337462.02,392.58
127.49,4528701.98,5337461.68,392.61
127.49,4528700.81,5337461.4,392.56
127.49,4528699.84,5337461.16,392.64
127.49,4528698.48,5337460.82,392.68
127.49,4528697.51,5337460.58,392.66
127.49,4528696.54,5337460.34,392.64
127.49,4528695.18,5337460,392.66
127.49,4528694.02,5337459.71,392.81
127.49,4528693.04,5337459.47,392.87
127.49,4528691.69,5337459.14,392.92
127.49,4528690.71,5337458.9,392.93
127.49,4528689.74,5337458.66,393
127.49,4528688.39,5337458.32,392.98
127.49,4528687.22,5337458.03,393.04
127.49,4528685.86,5337457.7,393.01
127.49,4528684.7,5337457.41,393.03
127.49,4528683.34,5337457.07,393.09
127.49,4528682.17,5337456.78,393.1
127.49,4528680.81,5337456.45,393.07
127.49,4528679.65,5337456.16,393.03
127.49,4528678.29,5337455.82,393.03
127.49,4528677.12,5337455.53,393
127.49,4528675.96,5337455.25,393.01
127.49,4528674.6,5337454.91,393.09
127.49,4528673.44,5337454.62,393.08
127.49,4528672.08,5337454.28,393.01
127.49,4528670.91,5337454,392.8
127.49,4528662.68,5337451.96,393.19
127.49,4528660.88,5337451.51,393.52
127.49,4528659.18,5337451.09,393.87
127.49,4528658.27,5337450.87,394.15
127.49,4528657.43,5337450.66,394.47
127.49,4528653.95,5337449.8,395.52
127.49,4528651.38,5337449.16,396.95
127.49,4528646.37,5337447.92,398.24
127.49,4528639.49,5337446.22,398.5
127.49,4528633.18,5337444.66,398.47
127.49,4528629.41,5337443.73,398.23
127.49,4528625.91,5337442.86,394.77
127.49,4528625.2,5337442.68,394.15
127.49,4528623.15,5337442.18,393.46
127.49,4528622.96,5337442.13,393.51
127.49,4528621.6,5337441.79,393.54
127.49,4528620.43,5337441.5,393.59
127.49,4528619.08,5337441.17,393.49
127.49,4528617.91,5337440.88,393.41
127.49,4528616.55,5337440.54,393.33
127.49,4528615.39,5337440.25,393.35
127.49,4528614.03,5337439.92,393.26
127.49,4528613.64,5337439.82,393.27
127.49,4528612.67,5337439.58,393.26
127.49,4528611.5,5337439.29,393.27
127.49,4528610.14,5337438.96,393.25
127.49,4528608.98,5337438.67,393.29
127.49,4528608.01,5337438.43,393.24
127.49,4528606.65,5337438.09,393.24
127.49,4528605.49,5337437.8,393.26
127.49,4528604.13,5337437.47,393.24
127.49,4528602.96,5337437.18,393.3
127.49,4528601.6,5337436.84,393.41
127.49,4528600.44,5337436.55,393.56
127.49,4528599.08,5337436.22,393.64
127.49,4528597.91,5337435.93,393.76
127.49,4528596.55,5337435.59,393.78
127.49,4528595.39,5337435.31,393.96
127.49,4528594.22,5337435.02,393.87
127.49,4528592.7,5337434.64,394.32
127.49,4528591.95,5337434.45,394.38
127.49,4528591.52,5337434.35,394.27
127.49,4528590.29,5337434.04,394.45
127.49,4528588.32,5337433.56,395.94
127.49,4528585.24,5337432.79,397.93
127.49,4528582.53,5337432.12,398.56
127.49,4528580.49,5337431.62,399.5
127.49,4528578.29,5337431.07,399.95
127.49,4528570.61,5337429.17,399.92
127.49,4528557.24,5337425.86,399.38
