127.80;4528703.83;5337741.91;399.26
127.80;4528696.39;5337740.08;396.10
127.80;4528689.00;5337738.07;394.85
127.80;4528681.57;5337736.18;394.44
127.80;4528674.17;5337734.18;394.45
127.80;4528666.70;5337732.44;394.46
127.80;4528659.31;5337730.40;394.44
127.80;4528651.80;5337728.88;394.50
127.80;4528644.45;5337726.73;394.35
127.80;4528637.08;5337724.61;393.99
127.80;4528629.62;5337722.88;393.82
127.80;4528622.21;5337720.92;393.59
127.80;4528614.81;5337718.94;393.67
127.80;4528607.39;5337717.01;393.38
127.80;4528599.94;5337715.16;393.60
127.80;4528592.51;5337713.30;393.84
127.80;4528585.06;5337711.47;393.85
127.80;4528577.68;5337709.42;393.75
127.80;4528570.25;5337707.54;394.25
127.80;4528562.84;5337705.56;396.45
127.80;4528555.41;5337703.66;400.02
127.60;4528736.70;5337543.89;399.13
127.60;4528729.14;5337544.35;396.17
127.60;4528721.58;5337544.58;395.06
127.60;4528714.03;5337545.09;394.08
127.60;4528706.46;5337545.38;393.34
127.60;4528698.91;5337545.99;393.35
127.60;4528691.36;5337546.53;392.77
127.60;4528683.80;5337546.99;392.82
127.60;4528676.23;5337547.34;392.87
127.60;4528668.67;5337547.79;392.92
127.60;4528661.10;5337548.13;392.97
127.60;4528653.54;5337548.49;393.06
127.60;4528645.98;5337548.99;394.65
127.60;4528638.42;5337549.48;395.91
127.60;4528630.86;5337549.89;395.83
127.60;4528623.29;5337550.24;395.55
127.60;4528615.73;5337550.71;393.41
127.60;4528608.18;5337551.17;393.33
127.60;4528600.61;5337551.39;393.84
127.60;4528593.05;5337551.88;394.33
127.60;4528585.49;5337552.30;394.98
127.60;4528577.93;5337552.74;395.79
127.60;4528570.37;5337553.19;398.08
127.49;4528732.29;5337468.84;399.32
127.49;4528725.05;5337467.31;395.25
127.49;4528717.80;5337465.78;392.74
127.49;4528710.64;5337463.88;391.99
127.49;4528703.42;5337462.18;391.79
127.49;4528696.20;5337460.46;391.84
127.49;4528689.01;5337458.63;392.18
127.49;4528681.76;5337457.07;392.31
127.49;4528674.63;5337455.08;392.30
127.49;4528667.44;5337453.30;392.60
127.49;4528660.41;5337451.03;393.91
127.49;4528653.17;5337449.49;394.98
127.49;4528645.93;5337448.02;396.72
127.49;4528638.73;5337446.22;397.19
127.49;4528631.52;5337444.49;397.04
127.49;4528624.34;5337442.63;395.29
127.49;4528617.16;5337440.81;394.88
127.49;4528609.99;5337438.91;394.85
127.49;4528602.81;5337437.05;394.99
127.49;4528595.61;5337435.28;395.39
127.49;4528588.36;5337433.70;396.66
127.49;4528581.12;5337432.05;400.56
127.47;4528730.49;5337446.54;399.60
127.47;4528722.98;5337444.81;395.28
127.47;4528715.50;5337442.95;392.69
127.47;4528708.00;5337441.18;391.62
127.47;4528700.51;5337439.32;391.52
127.47;4528693.01;5337437.55;391.60
127.47;4528685.53;5337435.70;391.69
127.47;4528678.03;5337433.91;391.65
127.47;4528670.60;5337431.86;391.56
127.47;4528663.12;5337430.02;393.06
127.47;4528655.61;5337428.25;394.08
127.47;4528648.08;5337426.60;396.08
127.47;4528640.62;5337424.75;397.56
127.47;4528633.10;5337423.02;397.49
127.47;4528625.65;5337421.03;395.75
127.47;4528618.14;5337419.30;394.99
127.47;4528610.66;5337417.41;394.71
127.47;4528603.18;5337415.57;394.70
127.47;4528595.70;5337413.69;395.23
127.47;4528588.22;5337411.81;397.24
127.47;4528580.73;5337409.98;400.08
127.45;4528728.20;5337430.01;399.38
127.45;4528720.71;5337428.22;395.22
127.45;4528713.23;5337426.38;391.76
127.45;4528705.76;5337424.51;391.56
127.45;4528698.32;5337422.54;391.62
127.45;4528690.85;5337420.64;391.78
127.45;4528683.35;5337418.85;392.02
127.45;4528675.87;5337417.01;392.14
127.45;4528668.43;5337415.06;392.66
127.45;4528660.98;5337413.10;393.44
127.45;4528653.51;5337411.18;395.02
127.45;4528646.04;5337409.29;396.68
127.45;4528638.56;5337407.46;397.82
127.45;4528631.12;5337405.44;397.28
127.45;4528623.69;5337403.46;394.97
127.45;4528616.23;5337401.53;394.65
127.45;4528608.77;5337399.61;394.60
127.45;4528601.32;5337397.66;394.70
127.45;4528593.86;5337395.72;395.34
127.45;4528586.36;5337394.01;399.21
127.45;4528578.92;5337392.00;399.62
127.40;4528720.59;5337358.74;400.43
127.40;4528713.15;5337358.28;396.03
127.40;4528705.70;5337357.98;392.76
127.40;4528698.25;5337357.46;391.43
127.40;4528690.81;5337357.03;391.71
127.40;4528683.36;5337356.57;392.61
127.40;4528675.91;5337356.13;393.08
127.40;4528668.47;5337355.62;393.35
127.40;4528661.01;5337355.58;393.68
127.40;4528653.57;5337355.03;394.19
127.40;4528646.12;5337354.70;396.03
127.40;4528638.70;5337353.97;398.27
127.40;4528631.25;5337353.52;398.69
127.40;4528623.82;5337352.80;396.50
127.40;4528616.38;5337352.36;393.10
127.40;4528608.93;5337352.10;393.08
127.40;4528601.51;5337351.36;393.16
127.40;4528594.07;5337351.72;393.27
127.40;4528586.63;5337351.20;394.21
127.40;4528579.25;5337350.34;398.26
127.20;4528723.28;5337170.71;397.79
127.20;4528716.13;5337169.54;396.09
127.20;4528708.97;5337168.48;393.53
127.20;4528701.82;5337167.30;393.01
127.20;4528694.67;5337166.17;392.60
127.20;4528687.52;5337165.04;392.70
127.20;4528680.46;5337163.43;392.71
127.20;4528673.34;5337162.14;392.89
127.20;4528666.22;5337160.80;393.10
127.20;4528659.09;5337159.53;393.26
127.20;4528651.96;5337158.24;392.88
127.20;4528644.79;5337157.23;392.71
